SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1366.20,1413.65,1366.20,1403.00,1401.00,1361.10,446,3131,4359521.00,
500003,AEGIS LOGIS ,A ,Q,199.25,201.25,198.05,200.35,200.35,199.20,272,2753,549922.00,
500008,AMAR RAJA BA,A ,Q,632.50,641.00,628.60,635.90,639.75,632.35,287,9519,6063297.00,
500009,A.SARABHAI  ,X ,Q,12.00,12.19,11.68,12.00,12.00,12.00,26,8433,100266.00,
500010,HDFC        ,A ,Q,2181.00,2215.00,2176.05,2195.70,2195.70,2182.30,2815,44351,97410570.00,
500012,ANDHRA PETRO,X ,Q,44.70,44.70,42.15,42.55,43.00,43.30,197,33495,1436639.00,
500013,ANSAL INFRAS,B ,Q,4.56,4.74,4.56,4.74,4.74,4.61,5,203,960.00,
500014,APPLE FINANC,XT,Q,1.33,1.33,1.30,1.30,1.30,1.33,5,98,130.00,
500016,ARUNAHTEL   ,XT,Q,5.15,5.15,5.15,5.15,5.15,5.10,2,104,535.00,
500020,BOM DYEING  ,A ,Q,84.80,86.50,84.50,84.90,85.00,85.70,950,89321,7621658.00,
500023,ASIANHOTNR  ,B ,Q,118.95,118.95,117.50,117.50,117.50,122.00,3,6,706.00,
500024,ASSAMCO     ,T ,Q,1.15,1.22,1.14,1.15,1.14,1.20,53,49346,56616.00,
500027,ATUL LTD.   ,A ,Q,3650.00,3700.00,3584.70,3676.70,3694.00,3653.25,450,2112,7699562.00,
500028,ATV PROJECTS,XT,Q,3.93,4.30,3.93,4.24,4.24,4.13,19,3350,14011.00,
500029,AUTOLITE(I) ,Z ,Q,24.50,24.50,24.50,24.50,24.50,25.50,3,11,269.00,
500031,BAJAJ ELECT.,A ,Q,424.00,424.00,402.25,408.75,406.00,406.40,628,13169,5411580.00,
500032,BAJAJHIND   ,B ,Q,7.05,7.05,6.75,6.82,6.85,6.95,1148,111668,774894.00,
500033,FORCE MOTR  ,A ,Q,1142.50,1167.00,1123.95,1129.95,1129.95,1156.05,1173,12431,14203532.00,
500034,BAJFINANCE  ,A ,Q,3195.25,3242.25,2998.00,3046.40,3046.40,3171.60,32769,518001,1614865817.00,
500038,BALRAM.CHINI,A ,Q,155.85,155.85,148.60,151.00,151.00,154.75,1053,87741,13309659.00,
500039,BANCO PROD. ,B ,Q,104.10,107.00,98.15,99.25,99.10,106.90,433,10497,1060993.00,
500040,CENTURY TEXT,A ,Q,897.30,903.45,881.50,891.05,891.05,892.95,642,19762,17653885.00,
500041,BANNARI AMAN,B ,Q,1416.00,1416.00,1400.00,1400.40,1400.00,1400.00,4,7,9823.00,
500042,BASF INDIA  ,A ,Q,1075.00,1092.40,1059.60,1072.95,1070.00,1054.15,154,999,1070925.00,
500043,BATA INDIA  ,A ,Q,1318.00,1318.00,1293.45,1300.75,1301.00,1307.25,751,28646,37254095.00,
500048,BEML LTD    ,A ,Q,906.15,906.20,885.60,888.85,888.85,897.95,660,21829,19549952.00,
500049,BHARAT ELECT,A ,Q,98.30,100.25,97.25,99.05,99.05,97.55,2791,452253,44762637.00,
500052,BHANSALI ENG,B ,Q,63.35,65.25,63.20,64.35,64.00,62.95,849,146652,9466339.00,
500055,TATASTLBSL  ,B ,Q,27.70,27.90,27.10,27.25,27.10,27.45,151,31736,868818.00,
500059,BINANI IND. ,Z ,Q,12.42,13.59,12.42,12.42,12.42,13.07,37,4930,62405.00,
500060,BIRLACABLE  ,B ,Q,76.45,77.10,73.45,73.80,73.50,75.30,141,6523,486518.00,
500067,BLUE STAR   ,A ,Q,753.20,753.20,738.45,740.80,740.80,741.95,179,953,705789.00,
